Z-SCORE,Asset liability ratio,Current ratio,Cash ratio,EBITDA/interest bearing debt,ROA,ROE,Gross profit margin on sales,Net business cycle (days),Turnover rate of accounts receivable (Times),Inventory turnover rate (Times),Stock Volatility,Debt financing costs,Share pledge ratio of controlling shareholders,P/E ratio,P/B ratio,Stock price rise and fall in the last year,"Company nature (state owned assets 0, others 1)",Cluster,Risk Level
2.42003878,0.648161,0.01124,0.394845643,0.501850532,0.046191,0.129841,0.193685,-33.0698,22.8269,6.0945,49.31878626,-0.020707319,0.152394917,31.40618754,3.658662577,-0.366076601,1,2,Low Risk
3.250554784,0.473534,0.018666,0.901601815,0.676477187,0.127784,0.196764,0.274844,48.7665,5.7536,6.0864,34.89226231,0.011232609,0.641065122,17.27917431,2.780912448,-0.05854997,1,2,Low Risk
6.580227054,0.489388,0.01236,0.542824469,0.759866133,0.106725,0.148207,0.1635,-2.0056,10.6589,137.8673,43.3303604,0.015671725,0.318291336,54.87447701,7.639384767,1.243022018,1,2,Low Risk
2.020820313,0.564368,0.008871,0.358787489,0.293535989,0.08934,0.149396,0.289639,-97.0692,3.1247,11.4023,36.11315569,0.014109452,0.521595824,21.73021765,3.353646354,-0.008282921,0,2,Low Risk
2.768444353,0.63309,0.011762,0.181972435,0.34602055,0.082087,0.165814,0.294227,255.0943,1.5725,2.2524,33.37233298,0.02669282,0.71681254,37.70403692,5.905563799,0.298231284,0,2,Low Risk
1.988925784,0.727524,0.006666,0.171825806,0.297187567,0.123066,0.298283,0.153822,33.2463,98.8013,6.2925,56.83135039,0.032133006,0.234599119,10.41061898,2.980953575,-0.18162833,1,2,Low Risk
2.015106102,0.669972,0.009293,0.24795233,0.185057458,0.062695,0.135968,0.288842,-4.3051,1.8933,12.0266,41.73546433,0.010753033,0.721460821,41.43095508,5.653614266,0.052254272,0,2,Low Risk
1.874357152,0.57818,0.012059,0.793594451,0.224067978,0.081388,0.145234,0.287024,-65.6659,29.3772,7.1892,45.94929944,0.010084243,0.333161514,19.27233205,3.221350613,0.558315522,1,2,Low Risk
3.088590933,0.623567,0.014778,0.459680481,3.622675824,0.068725,0.156192,0.254402,328.3517,3.7752,0.8067,71.42255211,-0.0181175,0.036480845,37.92788946,5.693152663,0.037057122,1,2,Low Risk
2.772953253,0.517157,0.017994,0.771859883,0.449297413,0.075619,0.137761,0.39135,92.9739,1.6229,2.7457,32.2714362,0.005445244,0.141667498,30.19287896,5.633296057,-0.09687463,1,2,Low Risk
6.412329922,0.447413,0.014328,0.368010737,1.120273327,0.101733,0.166632,0.209662,51.3976,5.1475,3.6643,35.96179418,0.006923802,0.363024078,45.30737714,7.421758388,0.593125197,1,2,Low Risk
2.445854327,0.640464,0.012654,0.283775312,0.549606312,0.07637,0.220711,0.242438,1.2487,13.0088,5.6658,33.12115537,-0.012516989,0.046100397,12.26449184,2.603059558,-0.280924364,1,2,Low Risk
1.620119008,0.627564,0.010987,0.16005282,0.129619239,0.015698,0.01319,0.389539,196.2621,1.8058,2.4635,40.26454687,0.023560484,0.588168239,191.4551903,2.507308386,0.064943805,1,2,Low Risk
3.501215662,0.583199,0.013271,0.132179785,0.293825953,0.105803,0.165665,0.362904,135.6174,2.7691,4.8328,17.2783558,0.025324599,0.166673547,27.92746345,4.522069272,-0.133894614,1,2,Low Risk
3.847271455,0.555674,0.015316,0.443337953,0.647775314,0.13908,0.234224,0.357452,76.9351,3.5783,5.5697,35.42936189,0.03318844,0.560198021,18.9464517,4.452635938,0.994166412,1,2,Low Risk
0.719502008,0.81822,0.010696,0.152123464,0.20426082,0.035852,0.229263,0.204453,561.2548,420.3341,0.5138,51.65321352,0.002494267,0.240910015,5.22584547,1.258978132,-0.083099115,1,2,Low Risk
3.605613949,0.649489,0.014646,0.364313277,0.723789823,0.04292,0.098164,0.11974,32.299,6.8815,5.4179,46.92456729,0.006216808,0.048678259,41.783694,4.526313308,0.886635816,0,2,Low Risk
2.123366777,0.626552,0.006944,0.383967639,0.147964492,0.067697,0.131824,0.039113,-1.0468,65.3045,34.8755,48.59927128,0.019961998,0.803339583,15.42979324,2.1084087,-0.23883438,1,2,Low Risk
1.397991512,0.680442,0.011325,0.232781736,0.160586984,0.069841,0.141617,0.231828,88.2054,13.2448,1.7765,32.61382757,0.018560425,0.370447858,15.54239994,2.185756775,0.207294264,1,2,Low Risk
2.268872286,0.612987,0.006232,0.155929983,0.342416745,0.062156,0.131803,0.167448,25.1309,1018.3087,2.3603,58.13453704,0.020041349,0.27507867,40.67330483,5.326073467,-0.015301574,1,2,Low Risk
2.89037434,0.527949,0.007957,0.340906237,0.377738269,0.103189,0.176699,0.349367,17.0575,4.2745,6.2328,34.87701475,0.022224299,0.0,29.24966811,5.011324578,-0.116539602,0,2,Low Risk
5.617211368,0.562588,0.012171,0.169827666,0.664796133,0.106865,0.182998,0.092745,28.6081,64.5329,8.8179,28.32413434,0.023978306,0.046544581,34.71175668,6.269653196,-0.138118928,1,2,Low Risk
6.567063446,0.524961,0.01592,0.106733958,0.535214508,0.100422,0.169467,0.178556,91.058,6.2491,4.2761,57.13278985,0.021892576,0.370801277,50.11355604,7.880962803,-0.234215613,1,2,Low Risk
2.344958309,0.592982,0.007224,0.178717949,0.489958298,0.030545,0.051522,0.219241,-6.0647,171.0227,7.3058,83.23745314,0.007049392,0.0,59.3831276,2.567660556,0.263155048,0,2,Low Risk
3.135099506,0.601226,0.014354,0.309294786,0.285672381,0.113039,0.157485,0.334122,103.529,3.2682,5.8275,25.37715952,0.025120876,0.584945131,37.22991062,5.580942615,-0.25944184,1,2,Low Risk
6.279895509,0.610093,0.015445,0.493591786,0.625814872,0.055158,0.121229,0.22254,96.2272,3.1482,2.5634,68.12381614,0.010837616,0.020709167,136.8190317,13.99384628,1.141327456,1,2,Low Risk
3.586627188,0.539563,0.016947,0.450670938,0.662288774,0.090648,0.147498,0.285144,76.7292,2.6754,14.9402,55.1605515,0.007318078,0.349711444,27.81184901,3.779283202,0.431752178,1,2,Low Risk
2.325169027,0.594233,0.010936,0.191096774,0.178960666,0.031139,0.02402,0.597519,383.4945,2.9124,1.0853,60.64247838,0.028199218,0.423639253,128.6735034,2.777374005,-0.539821132,1,2,Low Risk
8.265834915,0.268339,0.012093,0.285370531,2.490275626,0.093634,0.111934,0.412471,91.8498,14.6265,2.6792,33.93795823,0.009838765,0.334574065,41.31172137,4.637480576,-0.048386441,0,2,Low Risk
2.970802556,0.463081,0.015329,0.355313103,1.05994279,0.067449,0.071941,0.195227,90.6657,6.6953,3.8908,45.34861209,-0.009500548,0.561138782,30.4299762,2.219283661,0.132612081,1,2,Low Risk
2.968587465,0.556057,0.004166,0.191781784,0.255092697,0.056396,0.05765,0.096519,12.0846,145.4443,16.1842,34.54683597,0.026193143,0.304837708,78.41169166,4.549703205,0.504493077,0,2,Low Risk
4.257017389,0.343895,0.01307,0.384817209,1.085780671,0.086465,0.111231,0.226223,97.9609,6.8749,5.3702,18.09942456,0.023179256,0.316622691,23.11482581,2.588152908,-0.116778744,1,2,Low Risk
2.830154801,0.554365,0.006205,0.277720773,0.3134977,0.117785,0.227241,0.220389,-19.4674,44.3856,138.2467,41.91709584,0.018690251,0.0,23.9436843,3.915168803,-0.343161683,1,2,Low Risk
2.554771487,0.538172,0.018514,0.387504418,0.196875023,0.057671,0.099365,0.195014,204.7288,3.8234,2.2226,60.25227964,0.024159965,0.03886017,40.8754857,3.005391457,-0.310808142,1,2,Low Risk
2.507688888,0.525719,0.011451,0.365574255,0.335404632,0.068012,0.11076,0.34699,93.2296,3.7177,3.1878,34.43099353,0.012143031,0.979850201,25.70494377,2.792266339,0.012002866,1,2,Low Risk
2.021611458,0.544784,0.01189,0.258090674,0.303520985,0.083569,0.135349,0.263419,141.3976,2.8876,4.7771,37.96241662,0.02578209,0.544977675,15.06143585,1.988838106,0.366279284,1,2,Low Risk
3.816511357,0.466053,0.016752,0.201843791,0.516752239,0.126693,0.177526,0.284999,123.6786,2.4049,7.4194,31.40772349,0.023328319,0.699767316,16.94666564,3.016560231,-0.269953884,1,2,Low Risk
1.404789824,0.671619,0.014093,0.415299084,-0.000879962,-0.054898,-0.282816,0.116263,45.9336,6.6786,6.0414,57.60799896,0.028188734,0.691182484,-8.008123777,2.079840963,-0.135460943,1,2,Low Risk
2.477894339,0.464963,0.010294,0.648395875,0.627412149,0.060687,0.110712,0.294598,-14.9161,30.0468,5.0173,39.51223194,-0.003425023,0.396745273,15.96405249,1.795525509,-0.232705108,1,2,Low Risk
2.010214203,0.501841,0.008167,0.119992242,0.458519507,0.088968,0.1342,0.140674,28.4252,25.704,6.6011,28.50190587,0.019176012,0.247323143,9.960966533,1.215944359,0.266336354,0,2,Low Risk
3.689319813,0.565049,0.012194,0.384243703,0.148822945,0.033481,0.029264,0.097481,-3.6815,19.9473,2433.2086,45.51501222,0.015960139,0.592841185,79.95250251,2.396959348,-0.011839329,1,2,Low Risk
2.483176436,0.766975,0.009941,0.245149652,0.178086909,0.046489,0.12741,0.1486,52.6182,4.7086,5.5065,61.25734136,0.021275045,0.400754866,60.31208926,7.639302204,0.535742645,1,2,Low Risk
2.618982775,0.537871,0.007842,0.211692872,0.233608075,0.021207,0.016725,0.052803,7.1211,115.5209,10.5545,69.83415451,0.036584277,0.0638305,109.9898344,1.829527723,0.196418382,1,2,Low Risk
4.206602961,0.538707,0.010836,0.297933905,1.746761897,0.016285,0.02083,0.351367,11.4564,11.8974,3.7421,38.38182569,0.001839213,0.16485138,251.7997913,5.126757719,0.055337167,1,2,Low Risk
3.112365004,0.497845,0.018648,0.988836602,0.969468743,0.082069,0.130722,0.374202,99.4024,20.5734,1.3655,31.24487657,0.002007017,0.537947464,15.53998994,2.182647109,-0.147293257,1,2,Low Risk
2.046069583,0.635096,0.007165,0.329191922,0.483116194,0.1225,0.255472,0.229302,3.6555,25.8101,6.9718,54.66242793,0.013389447,0.629441543,8.104081304,1.836305412,-0.296068667,1,2,Low Risk
1.779116724,0.634164,0.008217,0.295551104,0.388371879,0.120404,0.227553,0.141709,50.151,10.2147,11.534,61.35264545,0.022685748,0.499962356,6.863872678,1.440762914,0.622976129,0,2,Low Risk
3.051036798,0.477042,0.013562,0.671594147,0.249889074,0.082475,0.110981,0.424715,213.6524,3.4321,2.155,41.10336291,0.016478223,0.483466631,30.33179947,3.322805755,0.145262725,1,2,Low Risk
3.379475432,0.347899,0.021844,0.995633765,0.471807794,0.021068,0.025703,0.081365,34.5242,5.5067,13.3204,59.7083634,0.009972839,0.593646205,71.77297335,1.827957309,-0.086922871,1,2,Low Risk
3.965615659,0.556431,0.015891,0.503667305,0.61767812,0.09846,0.186691,0.375514,148.7819,3.254,2.3455,46.44564825,0.010386964,0.5361128,28.89051909,5.431079826,0.263415142,1,2,Low Risk
1.880230007,0.725376,0.008975,0.22238759,0.197156796,0.042478,0.08237,0.163222,53.8208,4.0078,4.612,57.48766193,0.030274105,0.624955674,52.93078362,4.080874698,1.0277731,1,2,Low Risk
3.576040571,0.429389,0.018435,0.284041999,0.325883188,0.062571,0.073431,0.199816,196.1151,1.8877,6.5879,44.63472658,0.02870228,0.816964976,41.37218685,2.938021803,-0.208602005,1,2,Low Risk
3.189412617,0.588857,0.011505,0.34382252,0.436609211,0.102224,0.175244,0.238601,52.5695,3.9431,6.9348,64.45023457,0.009586965,0.053607948,30.90463962,5.403419071,-0.274969298,1,2,Low Risk
2.454556937,0.573708,0.013459,0.793150321,0.19947012,0.039881,0.078438,0.156547,13.8803,4.1252,18.697,30.08455049,0.006913869,0.591729873,38.76663733,2.597086302,0.431407483,1,2,Low Risk
4.746612459,0.38475,0.014185,0.460624372,0.439464215,0.086438,0.087299,0.316729,73.2751,5.0862,8.9731,37.01597274,0.025141825,0.346886813,42.31103964,3.506099828,-0.330571131,0,2,Low Risk
3.407534747,0.494499,0.016486,0.194820182,0.514003136,0.064783,0.092521,0.130294,84.7975,4.2589,8.4714,35.55368437,0.022993075,0.508543777,17.62169948,1.637731914,-0.054974972,1,2,Low Risk
5.063767246,0.288985,0.017226,0.621948756,0.807585,0.100057,0.115033,0.440705,148.9549,3.6305,2.3831,20.78795728,0.029622473,0.18654596,24.4939776,2.826972031,-0.09547642,0,2,Low Risk
4.372833686,0.506178,0.008314,0.348749947,0.20218554,0.05775,0.090511,0.214145,44.3944,42.4993,5.6692,72.02602843,0.01776746,0.0,72.97925971,6.113767326,0.451455297,1,2,Low Risk
3.045833583,0.331729,0.004185,0.30911575,1.330404563,0.043702,0.060607,0.310271,-497.3687,141.8891,60.7571,18.17091151,0.022657811,0.707481446,51.38176689,2.222786737,-0.298045987,0,2,Low Risk
2.099779915,0.57543,0.008596,0.199234024,0.507880452,0.099883,0.206614,0.142866,22.1792,36.267,10.4354,29.48522204,0.011443698,0.466069564,4.581118314,0.928541549,0.03373748,0,2,Low Risk
3.972742288,0.408727,0.017359,0.472538721,1.102217825,0.106993,0.143136,0.163837,91.0839,4.5789,6.223,38.5693657,0.006163359,0.068358673,17.3114509,2.375693983,0.13846436,1,2,Low Risk
4.437077367,0.486124,0.013692,0.550313391,2.675168656,0.07213,0.100982,0.237592,-7.7112,4.1611,3.226,50.72431227,-0.007291722,0.569616915,56.45775512,5.724085742,-0.322377215,1,2,Low Risk
2.89654038,0.447357,0.012792,0.318692609,0.758369953,0.055699,0.085939,0.372154,78.4431,5.7143,3.5606,38.3286556,-0.012132075,0.243975168,21.09598805,1.823681262,-0.327637849,1,2,Low Risk
4.332621593,0.44609,0.020458,0.634319223,0.222260771,0.050571,0.064572,0.267344,272.4357,2.19,1.5024,46.34086026,0.027677131,0.0,95.9672488,4.578145271,0.106796117,1,2,Low Risk
1.753850433,0.684932,0.010763,0.312900536,0.167039961,0.051929,0.069256,0.098394,47.4064,58.0394,7.9761,33.2047069,0.032720308,0.513441656,10.22861106,0.704395131,-0.176655903,1,2,Low Risk
2.695365162,0.588403,0.011778,0.252853905,0.793744663,0.09593,0.198692,0.302946,129.8134,3.8479,2.3441,46.45515639,0.007036608,0.649765288,17.2901059,3.413239308,0.246659218,1,2,Low Risk
