Stock code,Z-SCORE,Share pledge ratio of controlling shareholders,Pledge ratio of limited sale shares,Pledge ratio of unlimited shares,Stock Volatility,P/E ratio,P/B ratio,Stock price rise and fall in the last year,Annual turnover rate,ST,ROA,ROE,changes in net assets,changes in operating income,Gross profit margin on sales,Net business cycle (days),Turnover rate of accounts receivable (Times),Inventory turnover rate (Times),Total asset turnover rate (Times),Current ratio,Cash ratio,Asset liability ratio,Asset liability ratio (excluding advance receipts),Asset liability ratio (total liabilities - contract liabilities - advance receipts)/(total assets - goodwill - contract liabilities - advance receipts),Current liabilities/total liabilities,Monetary capital/short-term debt,EBITDA/interest bearing debt,EBIT interest cover,EBITDA interest cover,Net cash flow from operations has been negative for three consecutive years,Average cash income ratio in recent three years,Cash income ratio,Ratio of accounts receivable to operating income,Ratio of prepayments to operating income,Ratio of other receivables to total assets,Ratio of construction in progress to total assets,Minority shareholders' equity/owners' equity,The proportion of goodwill in total assets exceeds,Downgrade or negative,audit opinion ,"Company nature (state owned assets 0, others 1)",High deposit and loan of 90p,Company size (LN),Whether there are four major audits,Proportion of independent directors,Equity checks and balances (2-5 large/1 large),"Two positions in one (1 for the same, 0 for the different)",Equity concentration (the first largest shareholder),Total institutional shareholding ratio,Audit fee,Tobin Q,Debt financing costs,Enterprise age,Goodwill impairment ratio,Asset quality index,SG&A Expense,Number of key audit matters,Number of research institutions concerned,Number of research reports (+1 LN),Financial cycle m2/gdp,IsDefault
X00001,2.42003878,0.152394917,0,0.126365665,49.31878626,31.40618754,3.658662577,-0.366076601,1.420614229,0,0.046191,0.129841,1.049694202,0.006857,0.193685,-33.0698,22.8269,6.0945,0.7614,0.01124,0.394845643,0.648161,0.63280254,0.632901476,0.797411,3.304138991,0.501850532,0,0,0,1.142042333,1.158108,0.04813741,0.016229023,0.013031996,0.04480967,0.00022465,0.000149783,0,0,1,0,7.524870409,0,0.428571429,0.558561027,0,0.5836,0.908206,254.716982,1.761004123,-0.020707319,11.25833333,0,1.212208373,1.158200932,1,3.688879454,5.505331536,0.028940562,0
X00002,3.844693388,0.608350758,0.014873829,0.159442785,48.39023667,30.42292058,5.460896082,-0.133857077,2.676361021,0,0.121959,0.19055,0.937500907,0.400794,0.727484,140.8045,3.5295,2.3282,0.4556,0.011256,0.438025682,0.564089,0.559887149,0.654379646,0.594615,0.649839131,0.326338943,7.474,8.646792235,0,1.052152667,1.050286,0.309851334,0.014669329,0.013802186,0.03411759,0.034368764,0.143021548,0,0,1,0,5.018159762,1,0.428571429,1.95369134,1,0.137,0.65595,260,3.017306553,0.026496334,9.166666667,-0.000210356,1.058507027,1.021779429,1,3.496507561,5.332718793,-0.059095742,0
X00003,4.975553233,0.499388289,0,0.15366039,46.63957948,106.732585,3.636305993,-0.304963351,5.589543877,0,0.01557,0.034949,0.939371448,-0.166925,0.614608,103.6719,7.4687,2.9242,0.5234,0.017362,1.015668734,0.383526,0.309446098,0.315072808,0.666706,4.003399531,0.667316301,2.5996,4.586200977,0,1.06175,1.072391,0.115248795,0.036500258,0.005863144,0.000598112,0.020407779,0.015942672,0,0,1,0,5.13811962,1,0.4,0.818360519,0,0.2533,0.567395,445,2.695843678,0.018958872,10.175,-5.20995E-05,1.13869183,1.260414385,2,3.784189634,5.318119994,-0.06737798,0
X00004,4.088897027,0,0,0.001284581,31.02512351,12.81982971,3.392249668,0.906496404,2.538287391,0,0.164398,0.295278,1.400731854,0.355495,0.326878,116.644,3.6095,3.9412,0.921,0.016252,0.519451254,0.497172,0.489955528,0.490227085,0.936333,1.255866904,1.222764084,258.2331,297.9069263,0,1.063486333,1.040956,0.288015266,0.00837347,0.030776011,0.012201913,0.024288163,0.000546104,0,0,1,0,6.808391171,0,0.4,0.512723217,0,0.3,0.604141,300,2.083933583,-0.001030489,16.49444444,-4.31357E-05,0.929913661,0.856675646,2,3.663561646,5.252273428,-0.064161221,0
X00005,14.46424127,0.332565683,0.232976836,0.014729677,41.57271764,94.0221809,65.67141536,0.986820919,3.692383667,0,0.22971,0.598016,1.245824307,0.22083,0.592294,-17.2788,925.2419,0,0.919,0.009386,0.690661213,0.703506,0.54967809,0.555522002,0.989681,1.496570966,0.745375652,20.1495,21.32617145,0,1.137559,1.239715,0.001918647,0.000196753,0.021105634,0.014858891,-7.48437E-06,0.006926192,0,0,1,0,4.971121473,1,0.428571429,0.99565815,0,0.4136,0.4861,180,15.72972146,0.042444708,9.391666667,0,0.524994522,0.981006007,1,3.583518938,5.135798437,0.048155337,0
X00006,17.19103996,0,0,0.00781473,46.64431179,42.78559375,7.391967334,-0.098736495,2.02518836,0,0.193932,0.183931,1.145521796,0.241191,0.316779,37.666,68.322,5.23,0.983,0.015631,0.734043965,0.227639,0.210901455,0.210901455,0.860876,3.546495921,5.277343328,146.4338,179.5708519,0,1.126667667,1.104734,0.023610691,0.013899569,0.009157053,0.038012671,0.002483887,0,0,0,1,0,4.304253124,1,0.428571429,0.502700332,1,0.3386,0.728742,130,5.898190456,0.005236519,4.788888889,0,1.120367805,1.160810331,1,3.663561646,5.087596335,-0.06737798,0
X00007,7.659316421,0,0,0.015086586,45.27603641,13.58775317,3.461570048,-0.302292165,5.240236459,0,0.203055,0.257383,1.133973387,0.011688,0.814182,-160.1434,12.1622,0,1.0406,0.024385,1.82484639,0.279777,0.268674879,0.296678351,0.907741,5.416811362,2.688664733,0,0,0,1.042299333,1.029255,0.087380279,0.052126744,0.005113854,0.014186225,0.010443826,0.092957039,0,0,1,0,5.141348755,1,0.444444444,2.113918426,1,0.1452,0.27148,240,2.628080477,-0.015480509,11.83055556,0,1.096405332,0.954479123,2,3.663561646,5.056245805,0.028940562,0
X00008,33.45741598,0.097592504,0.056948092,0.006117836,35.75481918,77.7875755,23.48776577,1.392251005,2.689711894,0,0.250321,0.318011,1.251024257,0.269984,0.649665,101.5043,13.5178,2.5377,0.7135,0.026264,1.92621384,0.300723,0.223989983,0.233517729,0.822307,9650.618415,0,0,0,0,1.134291667,1.197723,0.068635413,0.009775082,0.008852093,0.027917779,0.000547458,0.03676648,0,0,1,0,5.808334332,0,0.375,1.453744402,0,0.269,0.678664,523,15.84982651,-0.006132269,2.208333333,-0.004112188,1.543718589,0.812335307,2,3.63758616,5.010635294,0.048155337,0
X00009,14.26044648,0.263986369,0,0,22.78843395,25.38905506,3.767957049,-0.106616503,1.50527968,0,0.159337,0.155464,1.139653747,0.143559,0.631916,-58.393,115.7743,251.5263,0.3705,0.018316,1.238480074,0.145854,0.090628307,0.137090207,0.985909,7.300787402,7.60857059,438.2288,512.829479,0,1.085822333,1.182536,0.011065567,0.004498623,0.017560579,0.026322619,0.019715997,0.318332819,0,0,1,0,4.472173588,1,0.333333333,0.866340455,0,0.2948,0.567198,107,3.241987249,0.009046055,7.061111111,0.056422603,1.045541231,1.05367706,2,3.583518938,4.94875989,0.017310869,0
X00010,3.250554784,0.641065122,0,0,34.89226231,17.27917431,2.780912448,-0.05854997,3.201832821,0,0.127784,0.196764,1.785303369,0.938872,0.274844,48.7665,5.7536,6.0864,0.7849,0.018666,0.901601815,0.473534,0.439598641,0.439745246,0.710598,5.695095214,0.676477187,22.2109,27.25287352,0,0.688213667,0.648273,0.199444257,0.063118157,0.003079791,0.072403595,0.000104972,0.000313197,0,0,1,0,5.256057072,1,0.333333333,1.357508978,0,0.1494,0.10705,80,1.867984331,0.011232609,4.722222222,0.001062087,1.177806202,1.148373518,0,3.33220451,4.934473933,0.096386832,0
X00011,8.791236338,0.763416768,0.120954719,0.25165856,50.24460084,19.06299952,2.489257419,0.423209706,5.826502012,0,0.133519,0.130679,1.06790197,0.182185,0.419495,100.509,5.8829,2.7507,0.4727,0.025203,1.222579317,0.166151,0.162138533,0.183115709,0.96601,9650.618415,1303.447378,0,0,0,1.017326667,1.039237,0.149371856,0.012201244,0.013342441,0.028011906,0.042261741,0.114008391,0,0,1,0,4.462763499,1,0.333333333,0.501307659,0,0.3161,0.482162,120,2.09337064,-0.002100311,12.07222222,0,0.948135161,0.851384355,2,3.33220451,4.927253685,-0.064161221,0
X00012,4.419920513,0.148949334,0.054357404,0.082953831,56.74979381,34.36664471,7.874248254,0.018711837,5.329708325,0,0.112651,0.238545,1.237177826,0.786965,0.390825,314.2827,4.8424,0.9532,0.516,0.014542,0.329020164,0.591444,0.520609091,0.614014334,0.904741,3.050508432,1.203152638,81.466,85.74489836,0,0.853742,0.707246,0.182493387,0.012708146,0.003299226,0.014391306,0,0.12964463,0,0,1,0,4.433861208,1,0.428571429,0.643073765,1,0.3649,0.433993,70,3.619736257,0.003032451,3.619444444,0,0.821033086,0.592229306,3,3.555348061,4.919980926,-0.059095742,0
